passenger_id,booking_id,journey_id,group_id,full_name,age,gender,passenger_type,contact_reference,booking_status
P000085,BK000027,J000001,GR000027,Dev Mishra,40,MALE,ADULT,demo_contact_000085,CONFIRMED
P000086,BK000027,J000001,GR000027,Kunal Reddy,47,FEMALE,ADULT,demo_contact_000086,CONFIRMED
P000087,BK000028,J000001,GR000028,Dhruv Shah,55,MALE,ADULT,demo_contact_000087,CONFIRMED
P000088,BK000029,J000001,GR000029,Ira Mehta,70,FEMALE,SENIOR,demo_contact_000088,CONFIRMED
P000089,BK000029,J000001,GR000029,Kavya Arora,18,MALE,ADULT,demo_contact_000089,CONFIRMED
P000090,BK000029,J000001,GR000029,Shreya Patel,25,FEMALE,ADULT,demo_contact_000090,CONFIRMED
P000091,BK000029,J000001,GR000029,Meera Tiwari,32,MALE,ADULT,demo_contact_000091,CONFIRMED
P000092,BK000030,J000001,GR000030,Diya Arora,61,FEMALE,ADULT,demo_contact_000092,CONFIRMED
P000093,BK000030,J000001,GR000030,Kabir Arora,21,OTHER,ADULT,demo_contact_000093,CONFIRMED
P000094,BK000030,J000001,GR000030,Harsh Patel,28,MALE,ADULT,demo_contact_000094,CONFIRMED
P000095,BK000030,J000001,GR000030,Tara Nair,35,MALE,ADULT,demo_contact_000095,CONFIRMED
P000096,BK000030,J000001,GR000030,Aditya Sethi,42,OTHER,ADULT,demo_contact_000096,CONFIRMED
P000097,BK000030,J000001,GR000030,Aditi Chopra,49,FEMALE,ADULT,demo_contact_000097,CONFIRMED
P000098,BK000030,J000001,GR000030,Yash Kapoor,56,OTHER,ADULT,demo_contact_000098,CONFIRMED
P000099,BK000030,J000001,GR000030,Aditya Khanna,63,FEMALE,ADULT,demo_contact_000099,CONFIRMED
P000100,BK000031,J000001,GR000031,Kavya Chopra,64,FEMALE,ADULT,demo_contact_000100,CONFIRMED
P000101,BK000031,J000001,GR000031,Neha Deshmukh,24,MALE,ADULT,demo_contact_000101,CONFIRMED
P000102,BK000031,J000001,GR000031,Simran Shah,31,MALE,ADULT,demo_contact_000102,CONFIRMED
P000103,BK000031,J000001,GR000031,Diya Verma,38,OTHER,ADULT,demo_contact_000103,CONFIRMED
P000104,BK000032,J000001,GR000032,Riya Mishra,20,OTHER,ADULT,demo_contact_000104,CONFIRMED
P000105,BK000032,J000001,GR000032,Harsh Joshi,27,OTHER,ADULT,demo_contact_000105,CONFIRMED
P000106,BK000033,J000001,GR000033,Naina Kapoor,23,FEMALE,ADULT,demo_contact_000106,WAITLISTED
P000107,BK000033,J000001,GR000033,Shreya Malhotra,30,OTHER,ADULT,demo_contact_000107,WAITLISTED
P000108,BK000034,J000001,GR000034,Naina Iyer,26,FEMALE,ADULT,demo_contact_000108,CONFIRMED
P000109,BK000034,J000001,GR000034,Aditi Chopra,33,OTHER,ADULT,demo_contact_000109,CONFIRMED
P000110,BK000034,J000001,GR000034,Priya Kohli,40,FEMALE,ADULT,demo_contact_000110,CONFIRMED
P000111,BK000034,J000001,GR000034,Riya Iyer,47,MALE,ADULT,demo_contact_000111,CONFIRMED
P000112,BK000035,J000001,GR000035,Nikhil Verma,29,FEMALE,ADULT,demo_contact_000112,CONFIRMED
P000113,BK000035,J000001,GR000035,Sana Joshi,36,OTHER,ADULT,demo_contact_000113,CONFIRMED
P000114,BK000035,J000001,GR000035,Simran Singh,43,MALE,ADULT,demo_contact_000114,CONFIRMED
P000115,BK000035,J000001,GR000035,Naina Arora,50,MALE,ADULT,demo_contact_000115,CONFIRMED
P000116,BK000036,J000001,GR000036,Ishita Tiwari,32,MALE,ADULT,demo_contact_000116,CONFIRMED
P000117,BK000036,J000001,GR000036,Manav Joshi,39,FEMALE,ADULT,demo_contact_000117,CONFIRMED
P000118,BK000037,J000001,GR000037,Isha Kapoor,35,MALE,ADULT,demo_contact_000118,CONFIRMED
P000119,BK000037,J000001,GR000037,Yash Bhatia,42,FEMALE,ADULT,demo_contact_000119,CONFIRMED
P000120,BK000037,J000001,GR000037,Isha Arora,49,FEMALE,ADULT,demo_contact_000120,CONFIRMED
P000121,BK000037,J000001,GR000037,Naina Agarwal,56,OTHER,ADULT,demo_contact_000121,CONFIRMED
P000122,BK000038,J000001,GR000038,Simran Arora,38,MALE,ADULT,demo_contact_000122,CONFIRMED
P000123,BK000038,J000001,GR000038,Kavya Khanna,45,OTHER,ADULT,demo_contact_000123,CONFIRMED
P000124,BK000038,J000001,GR000038,Kabir Deshmukh,52,FEMALE,ADULT,demo_contact_000124,CONFIRMED
P000125,BK000038,J000001,GR000038,Harsh Reddy,59,OTHER,ADULT,demo_contact_000125,CONFIRMED
P000126,BK000038,J000001,GR000038,Aarav Yadav,19,FEMALE,ADULT,demo_contact_000126,CONFIRMED
P000127,BK000038,J000001,GR000038,Kabir Chauhan,26,MALE,ADULT,demo_contact_000127,CONFIRMED
P000128,BK000038,J000001,GR000038,Vihaan Deshmukh,33,MALE,ADULT,demo_contact_000128,CONFIRMED
P000129,BK000038,J000001,GR000038,Mahi Iyer,40,MALE,ADULT,demo_contact_000129,CONFIRMED
P000130,BK000039,J000001,GR000039,Isha Iyer,41,OTHER,ADULT,demo_contact_000130,CONFIRMED
P000131,BK000040,J000001,GR000040,Ishita Kulkarni,44,MALE,ADULT,demo_contact_000131,RAC
P000132,BK000041,J000001,GR000041,Rohan Gupta,47,OTHER,ADULT,demo_contact_000132,CONFIRMED
P000133,BK000041,J000001,GR000041,Kavya Chauhan,54,OTHER,ADULT,demo_contact_000133,CONFIRMED
P000134,BK000041,J000001,GR000041,Rohan Gupta,61,FEMALE,ADULT,demo_contact_000134,CONFIRMED
P000135,BK000041,J000001,GR000041,Tara Kapoor,21,OTHER,ADULT,demo_contact_000135,CONFIRMED
P000136,BK000042,J000001,GR000042,Aman Reddy,50,MALE,ADULT,demo_contact_000136,CONFIRMED
P000137,BK000042,J000001,GR000042,Kunal Chopra,57,MALE,ADULT,demo_contact_000137,CONFIRMED
P000138,BK000042,J000001,GR000042,Pallavi Das,64,FEMALE,ADULT,demo_contact_000138,CONFIRMED
P000139,BK000042,J000001,GR000042,Mahi Kapoor,24,MALE,ADULT,demo_contact_000139,CONFIRMED
P000140,BK000043,J000001,GR000043,Mahi Das,53,OTHER,ADULT,demo_contact_000140,CONFIRMED
P000141,BK000043,J000001,GR000043,Rohan Joshi,60,MALE,ADULT,demo_contact_000141,CONFIRMED
P000142,BK000044,J000001,GR000044,Naina Rana,56,FEMALE,ADULT,demo_contact_000142,CONFIRMED
P000143,BK000045,J000001,GR000045,Aditi Mehta,59,MALE,ADULT,demo_contact_000143,CONFIRMED
P000144,BK000045,J000001,GR000045,Ira Chauhan,19,OTHER,ADULT,demo_contact_000144,CONFIRMED
P000145,BK000046,J000001,GR000046,Diya Patel,62,MALE,ADULT,demo_contact_000145,CONFIRMED
P000146,BK000047,J000001,GR000047,Diya Kapoor,18,FEMALE,ADULT,demo_contact_000146,CONFIRMED
P000147,BK000047,J000001,GR000047,Ananya Shah,25,MALE,ADULT,demo_contact_000147,CONFIRMED
P000148,BK000047,J000001,GR000047,Kunal Malhotra,32,MALE,ADULT,demo_contact_000148,CONFIRMED
P000149,BK000047,J000001,GR000047,Ishita Khanna,39,OTHER,ADULT,demo_contact_000149,CONFIRMED
P000150,BK000047,J000001,GR000047,Manav Agarwal,46,FEMALE,ADULT,demo_contact_000150,CONFIRMED
P000151,BK000047,J000001,GR000047,Ananya Sharma,53,MALE,ADULT,demo_contact_000151,CONFIRMED
P000152,BK000048,J000001,GR000048,Pallavi Agarwal,21,OTHER,ADULT,demo_contact_000152,CONFIRMED
P000153,BK000048,J000001,GR000048,Ayaan Das,28,FEMALE,ADULT,demo_contact_000153,CONFIRMED
P000154,BK000048,J000001,GR000048,Kavya Mishra,35,OTHER,ADULT,demo_contact_000154,CONFIRMED
P000155,BK000048,J000001,GR000048,Ananya Joshi,42,MALE,ADULT,demo_contact_000155,CONFIRMED
P000156,BK000048,J000001,GR000048,Aditi Arora,49,FEMALE,ADULT,demo_contact_000156,CONFIRMED
P000157,BK000048,J000001,GR000048,Ananya Patel,56,FEMALE,ADULT,demo_contact_000157,CONFIRMED
P000158,BK000048,J000001,GR000048,Dev Das,63,OTHER,ADULT,demo_contact_000158,CONFIRMED
P000159,BK000048,J000001,GR000048,Isha Iyer,23,FEMALE,ADULT,demo_contact_000159,CONFIRMED
P000160,BK000049,J000001,GR000049,Kabir Chopra,24,MALE,ADULT,demo_contact_000160,CONFIRMED
P000161,BK000049,J000001,GR000049,Nikhil Banerjee,31,MALE,ADULT,demo_contact_000161,CONFIRMED
P000162,BK000050,J000001,GR000050,Pallavi Khanna,27,MALE,ADULT,demo_contact_000162,CONFIRMED
P000163,BK000050,J000001,GR000050,Pallavi Iyer,34,MALE,ADULT,demo_contact_000163,CONFIRMED
P000164,BK000050,J000001,GR000050,Vivek Arora,41,MALE,ADULT,demo_contact_000164,CONFIRMED
P000165,BK000050,J000001,GR000050,Diya Kapoor,48,OTHER,ADULT,demo_contact_000165,CONFIRMED
P000166,BK000051,J000001,GR000051,Pallavi Joshi,30,FEMALE,ADULT,demo_contact_000166,CONFIRMED
P000167,BK000051,J000001,GR000051,Dev Deshmukh,37,FEMALE,ADULT,demo_contact_000167,CONFIRMED
P000168,BK000051,J000001,GR000051,Diya Joshi,44,FEMALE,ADULT,demo_contact_000168,CONFIRMED
P000169,BK000051,J000001,GR000051,Pihu Saxena,51,FEMALE,ADULT,demo_contact_000169,CONFIRMED
P000170,BK000051,J000001,GR000051,Aman Verma,58,FEMALE,ADULT,demo_contact_000170,CONFIRMED
P000171,BK000051,J000001,GR000051,Arjun Agarwal,18,FEMALE,ADULT,demo_contact_000171,CONFIRMED
P000172,BK000051,J000001,GR000051,Sana Singh,25,OTHER,ADULT,demo_contact_000172,CONFIRMED
P000173,BK000051,J000001,GR000051,Yash Saxena,32,OTHER,ADULT,demo_contact_000173,CONFIRMED
P000174,BK000052,J000001,GR000052,Harsh Kulkarni,33,FEMALE,ADULT,demo_contact_000174,CONFIRMED
P000175,BK000052,J000001,GR000052,Mahi Singh,40,OTHER,ADULT,demo_contact_000175,CONFIRMED
P000176,BK000053,J000001,GR000053,Ira Sharma,36,MALE,ADULT,demo_contact_000176,CONFIRMED
P000177,BK000053,J000001,GR000053,Aditya Iyer,43,FEMALE,ADULT,demo_contact_000177,CONFIRMED
P000178,BK000054,J000001,GR000054,Kabir Shah,39,MALE,ADULT,demo_contact_000178,CONFIRMED
P000179,BK000055,J000001,GR000055,Aditya Verma,42,MALE,ADULT,demo_contact_000179,CONFIRMED
P000180,BK000056,J000001,GR000056,Pallavi Rana,45,OTHER,ADULT,demo_contact_000180,CONFIRMED
P000181,BK000056,J000001,GR000056,Priya Nair,52,FEMALE,ADULT,demo_contact_000181,CONFIRMED
P000182,BK000056,J000001,GR000056,Vivek Sethi,59,MALE,ADULT,demo_contact_000182,CONFIRMED
P000183,BK000056,J000001,GR000056,Ira Sharma,19,OTHER,ADULT,demo_contact_000183,CONFIRMED
P000184,BK000056,J000001,GR000056,Manav Rana,26,OTHER,ADULT,demo_contact_000184,CONFIRMED
P000185,BK000057,J000001,GR000057,Varun Mishra,48,MALE,ADULT,demo_contact_000185,CONFIRMED
P000186,BK000057,J000001,GR000057,Meera Tiwari,55,FEMALE,ADULT,demo_contact_000186,CONFIRMED
P000187,BK000057,J000001,GR000057,Sana Mehta,62,OTHER,ADULT,demo_contact_000187,CONFIRMED
P000188,BK000057,J000001,GR000057,Simran Deshmukh,22,FEMALE,ADULT,demo_contact_000188,CONFIRMED
P000189,BK000057,J000001,GR000057,Aarav Sethi,29,FEMALE,ADULT,demo_contact_000189,CONFIRMED
P000190,BK000058,J000001,GR000058,Ayaan Tiwari,75,OTHER,SENIOR,demo_contact_000190,CONFIRMED
P000191,BK000058,J000001,GR000058,Harsh Mishra,58,OTHER,ADULT,demo_contact_000191,CONFIRMED
P000192,BK000058,J000001,GR000058,Rohan Das,18,OTHER,ADULT,demo_contact_000192,CONFIRMED
P000193,BK000058,J000001,GR000058,Vivek Patel,25,FEMALE,ADULT,demo_contact_000193,CONFIRMED
P000194,BK000059,J000001,GR000059,Nikhil Yadav,54,MALE,ADULT,demo_contact_000194,CONFIRMED
P000195,BK000059,J000001,GR000059,Varun Singh,61,FEMALE,ADULT,demo_contact_000195,CONFIRMED
P000196,BK000059,J000001,GR000059,Naina Khanna,21,MALE,ADULT,demo_contact_000196,CONFIRMED
P000197,BK000059,J000001,GR000059,Ira Malhotra,28,FEMALE,ADULT,demo_contact_000197,CONFIRMED
P000198,BK000060,J000001,GR000060,Rohan Deshmukh,57,FEMALE,ADULT,demo_contact_000198,CONFIRMED
P000199,BK000061,J000001,GR000061,Varun Tiwari,60,MALE,ADULT,demo_contact_000199,CONFIRMED
P000200,BK000061,J000001,GR000061,Sana Reddy,20,FEMALE,ADULT,demo_contact_000200,CONFIRMED
P000201,BK000062,J000001,GR000062,Dhruv Mehta,63,MALE,ADULT,demo_contact_000201,CONFIRMED
P000202,BK000062,J000001,GR000062,Raj Kohli,23,FEMALE,ADULT,demo_contact_000202,CONFIRMED
P000203,BK000063,J000001,GR000063,Aditya Sethi,19,FEMALE,ADULT,demo_contact_000203,CONFIRMED
P000204,BK000064,J000001,GR000064,Raj Kulkarni,22,FEMALE,ADULT,demo_contact_000204,CONFIRMED
P000205,BK000064,J000001,GR000064,Aditya Kapoor,29,FEMALE,ADULT,demo_contact_000205,CONFIRMED
P000206,BK000064,J000001,GR000064,Shreya Iyer,36,MALE,ADULT,demo_contact_000206,CONFIRMED
P000207,BK000064,J000001,GR000064,Dhruv Khanna,43,FEMALE,ADULT,demo_contact_000207,CONFIRMED
P000208,BK000065,J000001,GR000065,Sana Iyer,25,FEMALE,ADULT,demo_contact_000208,CONFIRMED
P000209,BK000065,J000001,GR000065,Rohan Verma,32,FEMALE,ADULT,demo_contact_000209,CONFIRMED
P000210,BK000066,J000001,GR000066,Vihaan Verma,28,OTHER,ADULT,demo_contact_000210,WAITLISTED
P000211,BK000066,J000001,GR000066,Dhruv Kulkarni,35,FEMALE,ADULT,demo_contact_000211,WAITLISTED
P000212,BK000066,J000001,GR000066,Harsh Singh,42,FEMALE,ADULT,demo_contact_000212,WAITLISTED
P000213,BK000066,J000001,GR000066,Priya Agarwal,49,FEMALE,ADULT,demo_contact_000213,WAITLISTED
P000214,BK000067,J000001,GR000067,Siddharth Gupta,31,MALE,ADULT,demo_contact_000214,CONFIRMED
P000215,BK000067,J000001,GR000067,Tara Khanna,38,OTHER,ADULT,demo_contact_000215,CONFIRMED
P000216,BK000067,J000001,GR000067,Ira Banerjee,45,MALE,ADULT,demo_contact_000216,CONFIRMED
P000217,BK000067,J000001,GR000067,Diya Kulkarni,52,MALE,ADULT,demo_contact_000217,CONFIRMED
P000218,BK000067,J000001,GR000067,Kabir Verma,59,OTHER,ADULT,demo_contact_000218,CONFIRMED
P000219,BK000068,J000002,GR000068,Sana Mishra,34,MALE,ADULT,demo_contact_000219,CONFIRMED
P000220,BK000069,J000002,GR000069,Vivek Sethi,37,OTHER,ADULT,demo_contact_000220,CONFIRMED
P000221,BK000069,J000002,GR000069,Varun Iyer,44,OTHER,ADULT,demo_contact_000221,CONFIRMED
P000222,BK000070,J000002,GR000070,Tara Sethi,40,MALE,ADULT,demo_contact_000222,CONFIRMED
P000223,BK000070,J000002,GR000070,Harsh Kapoor,47,FEMALE,ADULT,demo_contact_000223,CONFIRMED
P000224,BK000070,J000002,GR000070,Aditya Reddy,54,FEMALE,ADULT,demo_contact_000224,CONFIRMED
P000225,BK000070,J000002,GR000070,Varun Khanna,61,FEMALE,ADULT,demo_contact_000225,CONFIRMED
P000226,BK000071,J000002,GR000071,Sneha Kohli,43,OTHER,ADULT,demo_contact_000226,CONFIRMED
P000227,BK000072,J000002,GR000072,Shreya Shah,46,OTHER,ADULT,demo_contact_000227,CONFIRMED
P000228,BK000073,J000002,GR000073,Pallavi Joshi,49,OTHER,ADULT,demo_contact_000228,CONFIRMED
P000229,BK000073,J000002,GR000073,Vivek Arora,56,FEMALE,ADULT,demo_contact_000229,CONFIRMED
P000230,BK000074,J000002,GR000074,Dev Verma,52,FEMALE,ADULT,demo_contact_000230,CONFIRMED
P000231,BK000074,J000002,GR000074,Aman Sethi,59,FEMALE,ADULT,demo_contact_000231,CONFIRMED
P000232,BK000075,J000002,GR000075,Kabir Mehta,55,OTHER,ADULT,demo_contact_000232,CONFIRMED
P000233,BK000076,J000002,GR000076,Riya Gupta,58,MALE,ADULT,demo_contact_000233,CONFIRMED
P000234,BK000076,J000002,GR000076,Kavya Chauhan,18,FEMALE,ADULT,demo_contact_000234,CONFIRMED
P000235,BK000077,J000002,GR000077,Meera Yadav,61,MALE,ADULT,demo_contact_000235,CONFIRMED
P000236,BK000077,J000002,GR000077,Isha Khanna,21,FEMALE,ADULT,demo_contact_000236,CONFIRMED
P000237,BK000077,J000002,GR000077,Dhruv Kapoor,28,FEMALE,ADULT,demo_contact_000237,CONFIRMED
P000238,BK000078,J000002,GR000078,Rahul Bhatia,64,MALE,ADULT,demo_contact_000238,CONFIRMED
P000239,BK000078,J000002,GR000078,Shreya Mehta,24,FEMALE,ADULT,demo_contact_000239,CONFIRMED
P000240,BK000079,J000002,GR000079,Ananya Rana,20,FEMALE,ADULT,demo_contact_000240,CONFIRMED
P000241,BK000079,J000002,GR000079,Ananya Nair,27,FEMALE,ADULT,demo_contact_000241,CONFIRMED
P000242,BK000079,J000002,GR000079,Simran Bhatia,34,FEMALE,ADULT,demo_contact_000242,CONFIRMED
P000243,BK000079,J000002,GR000079,Mahi Singh,41,FEMALE,ADULT,demo_contact_000243,CONFIRMED
P000244,BK000079,J000002,GR000079,Dhruv Reddy,48,OTHER,ADULT,demo_contact_000244,CONFIRMED
P000245,BK000080,J000002,GR000080,Aarav Chopra,23,OTHER,ADULT,demo_contact_000245,RAC
P000246,BK000080,J000002,GR000080,Kavya Kapoor,30,MALE,ADULT,demo_contact_000246,RAC
P000247,BK000081,J000002,GR000081,Vivek Gupta,26,OTHER,ADULT,demo_contact_000247,CONFIRMED
P000248,BK000081,J000002,GR000081,Ayaan Tiwari,33,MALE,ADULT,demo_contact_000248,CONFIRMED
